	Acinonyx_jubatus__aciJub1_HiC.fasta_v2.functional.proteins	Ailurus_fulgens__ASM200746v1_HiC.fasta_v2.functional.proteins	Axis_porcinus__ASM379854v1_HiC.fasta_v2.functional.proteins	Balaenoptera_edeni__Balaenoptera_edeni_HiC.fasta_v2.functional.proteins	Bassariscus_sumichrasti__Bassariscus_sumichrasti_HiC.fasta_v2.functional.proteins	Bison_bison__Bison_UMD1.0_HiC.fasta_v2.functional.proteins	Camelus_dromedarius__PRJNA234474_Ca_dromedarius_V1.0_HiC.fasta_v2.functional.proteins	Canis_lupus_dingo__ASM325472v1_HiC.fasta_v2.functional.proteins	Canis_lupus_familiaris__canFamDis_HiC.fasta_v2.functional.proteins	Castor_canadensis__C.can_genome_v1.0_HiC.fasta_v2.functional.proteins	Cavia_porcellus__Cavpor3.0_HiC.fasta_v2.functional.proteins	Cebuella_pygmaea__Cebuella_pygmaea_HiC.fasta_v2.functional.proteins	Ceratotherium_simum__CerSimSim1.0_HiC.fasta_v2.functional.proteins	Chinchilla_x__ChiLan1.0_HiC.fasta_v2.functional.proteins	Choloepus_hoffmanni__C_hoffmanni-2.0.1_HiC.fasta_v2.functional.proteins	Coendou_prehensilis__Coendou_prehensilis_HiC.fasta_v2.functional.proteins	Connochaetes_taurinus__BWD_HiC.fasta_v2.functional.proteins	Cricetulus_griseus__CriGri-PICR_HiC.fasta_v2.functional.proteins	Crocuta_crocuta__Crocuta_crocuta_HiC.fasta_v2.functional.proteins	Cryptoprocta_ferox__Cryptoprocta_ferox_HiC.fasta_v2.functional.proteins	Delphinapterus_leucas__ASM228892v2_HiC.fasta_v2.functional.proteins	Didelphis_virginiana__dv-2k.fasta_v2.functional.proteins	Eidolon_helvum__ASM46528v1_HiC.fasta_v2.functional.proteins	Elephas_maximus__Elephas_maximus_HiC.fasta_v2.functional.proteins	Enhydra_lutris__ASM228890v2_HiC.fasta_v2.functional.proteins	Equus_asinus__ASM303372v1_HiC.fasta_v2.functional.proteins	Erethizon_dorsatum__GSC_porc_1.0_HiC.fasta_v2.functional.proteins	Eubalaena_glacialis__Eubalaena_glacialis_HiC.fasta_v2.functional.proteins	Eulemur_flavifrons__Eflavifronsk33QCA_HiC.fasta_v2.functional.proteins	Fukomys_damarensis__DMR_v1.0_HiC.fasta_v2.functional.proteins	Giraffa_camelopardalis__ASM165123v1_HiC.fasta_v2.functional.proteins	Globicephala_melas__ASM654740v1_HiC.fasta_v2.functional.proteins	Hippotragus_niger__Sable_antelope_Masurca.scf_HiC.fasta_v2.functional.proteins	Lagenorhynchus_obliquidens__ASM367639v1_HiC.fasta_v2.functional.proteins	Lama_glama__Lama_glama_HiC.fasta_v2.functional.proteins	Litocranius_walleri__GRK_HiC.fasta_v2.functional.proteins	Lutra_lutra__mLutLut1_HiC.fasta_v2.functional.proteins	Lycaon_pictus__sis2-181106_HiC.fasta_v2.functional.proteins	Macropus_eugenii__me-1k.fasta_v2.functional.proteins	Macropus_fuliginosus__mf-2k.fasta_v2.functional.proteins	Macropus_giganteus__mg-2k.fasta_v2.functional.proteins	Macropus_rufus__mr-2k.fasta_v2.functional.proteins	Mandrillus_sphinx__BGI_mandrill_1.0_HiC.fasta_v2.functional.proteins	Mesocricetus_auratus__MesAur1.0_HiC.fasta_v2.functional.proteins	Microcebus_murinus__Mmur_3.0_HiC.fasta_v2.functional.proteins	Mirounga_angustirostris__Mirounga_angustirostris_HiC.fasta_v2.functional.proteins	Monodelphis_domestica__MonDom5_HiC.fasta_v2.functional.proteins	Muntiacus_reevesi__CIJ_HiC.fasta_v2.functional.proteins	Mustela_putorius_furo__MusPutFur1.0_HiC.fasta_v2.functional.proteins	Myotis_lucifugus__Myoluc2.0_HiC.fasta_v2.functional.proteins	Nasua_narica__Nasua_narica_HiC.fasta_v2.functional.proteins	Neofelis_nebulosa__Neofelis_nebulosa_HiC.fasta_v2.functional.proteins	Odobenus_rosmarus__Oros_1.0_HiC.fasta_v2.functional.proteins	Odocoileus_virginianus__Ovir.te_1.0_HiC.fasta_v2.functional.proteins	Okapia_johnstoni__ASM166083v1_HiC.fasta_v2.functional.proteins	Orcinus_orca__Oorc_1.1_HiC.fasta_v2.functional.proteins	Orycteropus_afer__OryAfe1.0_HiC.fasta_v2.functional.proteins	Oryctolagus_cuniculus__OryCun2.0_HiC.fasta_v2.functional.proteins	Oryx_dammah__oryx.1_HiC.fasta_v2.functional.proteins	Panthera_onca__Panthera_onca_HiC.fasta_v2.functional.proteins	Panthera_pardus__PanPar1.0_HiC.fasta_v2.functional.proteins	Panthera_tigris__PanTig1.0_HiC.fasta_v2.functional.proteins	Peponocephala_electra__Peponocephala_electra_HiC.fasta_v2.functional.proteins	Peromyscus_crinitus__pecr10X_v2_HiC.fasta_v2.functional.proteins	Peromyscus_nasutus__Peromyscus_nasutus_10x_v1_HiC.fasta_v2.functional.proteins	Phalanger_gymnotis__pg-2k.fasta_v2.functional.proteins	Phoca_vitulina__GSC_HSeal_1.0_HiC.fasta_v2.functional.proteins	Phocoena_phocoena__Phocoena_phocoena_HiC.fasta_v2.functional.proteins	Potos_flavus__Potos_flavus_HiC.fasta_v2.functional.proteins	Procavia_capensis__Pcap_2.0_HiC.fasta_v2.functional.proteins	Procyon_lotor__pl-1k.fasta_v2.functional.proteins	Propithecus_coquereli__Pcoq_1.0_HiC.fasta_v2.functional.proteins	Pseudocheirus_occidentalis__Pseudocheirus_occidentalis_HiC.fasta_v2.functional.proteins	Pseudochirops_corinnae__Pseudochirops_corinnae_HiC.fasta_v2.functional.proteins	Pseudochirops_cupreus__Pseudochirops_cupreus_HiC.fasta_v2.functional.proteins	Pteropus_rufus__Pteropus_rufus_HiC.fasta_v2.functional.proteins	Pteropus_vampyrus__Pvam_2.0_HiC.fasta_v2.functional.proteins	Puma_concolor__PumCon1.0_HiC.fasta_v2.functional.proteins	Saimiri_boliviensis__saiBolDis_HiC.fasta_v2.functional.proteins	Struthio_camelus__ASM69896v1_HiC.fasta_v2.functional.proteins	Suricata_suricatta__meerkat_22Aug2017_6uvM2_HiC.fasta_v2.functional.proteins	Tapirus_indicus__Tapirus_indicus_HiC.fasta_v2.functional.proteins	Trichechus_manatus__TriManLat1.0_HiC.fasta_v2.functional.proteins	Tursiops_aduncus__ASM322739v1_HiC.fasta_v2.functional.proteins	Tursiops_truncatus__NIST_Tur_tru_v1_HiC.fasta_v2.functional.proteins	Ursus_americanus__ASM334442v1_HiC.fasta_v2.functional.proteins	Ursus_arctos__ASM358476v1_HiC.fasta_v2.functional.proteins	Ursus_maritimus__UrsMar_1.0_HiC.fasta_v2.functional.proteins	Vicugna_pacos__Vicugna_pacos-2.0.1_HiC.fasta_v2.functional.proteins	Vombatus_ursinus__vu-2k.fasta_v2.functional.proteins	Vulpes_vulpes__VulVul2.2_HiC.fasta_v2.functional.proteins
Eidolon_helvum__ASM46528v1_HiC.fasta_v2.functional.proteins	13422	13752	13764	13768	13806	13657	13268	13810	13868	13605	13352	13759	13784	13265	13930	12914	13767	13587	13800	13870	13641	12643	15840	13755	12406	13724	13147	12927	13641	13276	13719	13273	12704	13557	13715	13796	13806	13680	12709	12646	12727	12682	13859	13211	13757	13803	12442	13673	13163	13283	13692	13853	13878	13804	12028	13667	13673	13001	13824	13771	13128	13505	13636	13459	13452	12759	13920	13525	13832	12910	13682	13764	12627	12670	12731	14075	14208	13468	13657	9817	13768	13228	13694	13617	12596	13866	13866	13579	13573	12715	13794
Elephas_maximus__Elephas_maximus_HiC.fasta_v2.functional.proteins	14341	15059	15219	15165	15234	14862	14434	15246	15298	15061	14695	15222	15240	14575	15384	14285	15151	15053	15199	15285	15059	13929	13755	17155	13690	15154	14516	14277	15101	14507	15116	14661	13939	14994	15120	15187	15243	14887	13959	13896	14015	13943	15290	14596	15274	15232	13670	14963	14466	14166	15127	15341	15327	15194	13325	15060	15287	14106	15270	15176	14519	14493	15011	14844	14831	14050	15370	14884	15256	14444	15008	15235	13851	13930	13974	14926	14881	14520	15097	10602	15049	14577	15570	15035	13643	15247	15285	14690	14802	13943	15149
Enhydra_lutris__ASM228890v2_HiC.fasta_v2.functional.proteins	13206	14344	13920	13823	14359	13570	13114	14231	14211	13607	13327	13790	13937	13188	13842	12854	13782	13632	13968	14144	13722	12504	12406	13690	16785	13891	13048	12942	13768	13165	13815	13342	12560	13698	13710	13861	15592	13832	12528	12461	12590	12528	13889	13208	13857	14492	12291	13653	14107	12869	14271	14183	14582	13838	12439	13698	13601	12868	13919	14001	13372	13372	13680	13406	13390	12597	14611	13579	14432	12733	14108	13772	12438	12514	12550	13636	13527	13411	13679	9617	13795	13291	13661	13683	12458	14459	14570	13957	13457	12562	14078
Equus_asinus__ASM303372v1_HiC.fasta_v2.functional.proteins	14394	15232	15367	15292	15306	15002	14534	15418	15411	14969	14652	15175	15712	14565	15287	14218	15267	15017	15255	15393	15199	13777	13724	15154	13891	17290	14450	14427	15209	14499	15274	14796	14051	15164	15168	15321	15416	15041	13787	13713	13856	13770	15307	14557	15334	15399	13538	15115	14643	14221	15214	15438	15513	15327	13382	15193	14994	14030	15384	15263	14655	14571	15140	14798	14763	13847	15518	15085	15336	14103	15054	15204	13680	13726	13778	15026	14952	14610	15035	10607	15074	15033	15095	15129	13737	15467	15590	14927	14923	13818	15286
Erethizon_dorsatum__GSC_porc_1.0_HiC.fasta_v2.functional.proteins	13678	14427	14559	14441	14512	14205	13779	14591	14630	14467	14483	14583	14524	14543	14679	15070	14448	14520	14497	14589	14376	13317	13147	14516	13048	14450	16892	13633	14505	14300	14459	13992	13236	14321	14409	14509	14576	14231	13378	13322	13429	13391	14627	14074	14650	14545	13108	14308	13940	13575	14416	14631	14634	14562	12726	14374	14373	13479	14583	14467	13821	13815	14336	14309	14293	13434	14652	14218	14540	13589	14296	14586	13300	13343	13423	14310	14231	13857	14436	10192	14373	13933	14458	14353	13024	14567	14622	14054	14125	13388	14491
Eubalaena_glacialis__Eubalaena_glacialis_HiC.fasta_v2.functional.proteins	13531	14302	14624	16433	14598	14230	13740	14456	14476	14107	13794	14383	14481	13684	14457	13725	14476	14140	14419	14517	15694	12963	12927	14277	12942	14427	13633	17852	14312	13645	14511	15247	13279	15578	14402	14541	14459	14097	12996	12952	13059	13007	14458	13714	14384	14519	12721	14324	13702	13417	14329	14531	14594	14568	12665	15614	14127	13158	14740	14340	13711	13687	15796	13895	13889	13096	14602	15585	14434	13331	14180	14362	12909	12976	13012	14143	14050	13761	14259	9982	14207	14034	14249	15574	14054	14490	14574	13989	14102	12997	14356
Eulemur_flavifrons__Eflavifronsk33QCA_HiC.fasta_v2.functional.proteins	14271	15083	15247	15139	15172	14828	14476	15273	15282	14964	14686	15433	15286	14550	15243	14270	15114	15030	15151	15291	15072	13748	13641	15101	13768	15209	14505	14312	17349	14540	15163	14660	13928	15041	15115	15183	15252	14880	13772	13687	13831	13773	15532	14553	15909	15285	13510	15002	14498	14191	15046	15298	15339	15181	13263	15063	14969	14058	15258	15142	14551	14438	14995	14783	14773	13846	15353	14940	15211	14080	14915	15833	13661	13725	13799	14989	14888	14512	15308	10552	14977	14650	15065	15013	13648	15297	15374	14749	14822	13814	15145
Fukomys_damarensis__DMR_v1.0_HiC.fasta_v2.functional.proteins	13977	14563	14598	14448	14484	14364	14007	14632	14634	14485	14551	14595	14587	14525	14768	14054	14524	14534	14481	14590	14385	13402	13276	14507	13165	14499	14300	13645	14540	16369	14496	14027	13412	14361	14401	14553	14573	14343	13464	13389	13507	13450	14676	14098	14657	14570	13209	14488	13913	13799	14403	14620	14637	14591	12731	14391	14428	13661	14581	14470	13877	14100	14347	14306	14296	13492	14654	14272	14510	13633	14284	14524	13359	13399	13459	14323	14313	14035	14434	10455	14475	13936	14486	14358	13123	14656	14670	14338	14339	13462	14614
Giraffa_camelopardalis__ASM165123v1_HiC.fasta_v2.functional.proteins	14327	15195	16298	15370	15254	15840	14574	15379	15353	15002	14685	15190	15340	14553	15257	14238	16131	15044	15222	15329	15304	13806	13719	15116	13815	15274	14459	14511	15163	14496	18278	14885	14816	15275	15204	16122	15325	14948	13829	13768	13902	13826	15256	14566	15281	15336	13572	15951	14547	14242	15127	15367	15414	16214	14561	15290	15032	14039	16250	15191	14612	14522	15247	14781	14773	13893	15434	15163	15305	14123	15007	15176	13746	13814	13850	14995	14923	14584	15016	10573	15070	14689	15083	15261	13842	15373	15483	14828	14932	13848	15206
Globicephala_melas__ASM654740v1_HiC.fasta_v2.functional.proteins	13914	14673	14980	16207	14785	14609	14383	14862	14885	14520	14207	14806	14858	14105	14825	13827	14863	14518	14768	14867	17070	13362	13273	14661	13342	14796	13992	15247	14660	14027	14885	19109	13640	17486	14793	14933	14860	14501	13421	13353	13467	13394	14822	14091	14802	14860	13146	14692	14414	13775	14691	14915	14966	14974	13087	17480	14524	13550	15040	14735	14121	14079	18057	14322	14282	13491	14985	16600	14815	13676	14554	14743	13322	13372	13417	14518	14446	14099	14651	10285	14624	14226	14655	17591	15581	14866	14947	14319	14459	13405	14739
Hippotragus_niger__Sable_antelope_Masurca.scf_HiC.fasta_v2.functional.proteins	13227	13981	15012	14158	14022	14797	13427	14133	14133	13788	13518	13973	14137	13403	14047	13024	15532	13824	13977	14078	14039	12686	12704	13939	12560	14051	13236	13279	13928	13412	14816	13640	17253	14013	13929	15200	14096	13789	12712	12657	12767	12694	14094	13415	14056	14099	12458	14760	13378	13089	13890	14122	14190	14962	12811	14016	13800	12864	16121	13950	13346	13394	13989	13611	13596	12762	14187	13906	14067	12931	13776	13940	12616	12664	12725	13801	13726	13440	13841	9766	13860	13442	13872	14012	12710	14157	14228	13697	13756	12738	14038
Lagenorhynchus_obliquidens__ASM367639v1_HiC.fasta_v2.functional.proteins	14190	15025	15328	16473	15117	14902	14453	15199	15195	14819	14546	15092	15222	14417	15188	14113	15210	14852	15071	15199	17327	13679	13557	14994	13698	15164	14321	15578	15041	14361	15275	17486	14013	19297	15113	15271	15161	14786	13733	13668	13793	13703	15145	14411	15154	15232	13458	15059	14429	14107	14994	15245	15288	15276	13386	17707	14850	13892	15350	15068	14478	14348	17751	14601	14607	13786	15311	17018	15132	14007	14854	15038	13648	13695	13754	14883	14774	14450	14960	10568	14950	14599	14965	17868	16043	15218	15316	14662	14801	13727	15039
Lama_glama__Lama_glama_HiC.fasta_v2.functional.proteins	14256	15033	15271	15309	15205	14920	15432	15251	15290	14954	14560	15160	15273	14492	15183	14161	15159	14946	15224	15313	15199	13720	13715	15120	13710	15168	14409	14402	15115	14401	15204	14793	13929	15113	17827	15207	15249	14889	13767	13712	13835	13770	15232	14500	15227	15230	13525	15013	14472	14135	15113	15330	15320	15264	13383	15188	14928	13926	15346	15171	14506	14434	15164	14716	14710	13846	15350	15013	15252	14091	14998	15144	13666	13721	13799	14940	14857	14452	15021	10542	15020	14641	15027	15152	13735	15242	15333	14688	16396	13782	15124
Litocranius_walleri__GRK_HiC.fasta_v2.functional.proteins	14417	15219	16313	15408	15291	16020	14591	15397	15407	15040	14741	15270	15345	14583	15373	14300	16504	15055	15261	15358	15288	13839	13796	15187	13861	15321	14509	14541	15183	14553	16122	14933	15200	15271	15207	18585	15386	14998	13889	13822	13956	13877	15359	14637	15326	15381	13617	15981	14630	14258	15170	15395	15463	16224	14130	15300	15110	14110	16632	15214	14612	14564	15271	14845	14819	13967	15461	15159	15340	14205	15054	15245	13817	13873	13918	15014	14969	14622	15129	10582	15115	14729	15157	15276	13853	15420	15490	14867	14946	13886	15257
Lutra_lutra__mLutLut1_HiC.fasta_v2.functional.proteins	14681	15856	15412	15395	16044	15062	14589	15803	15841	15106	14781	15381	15447	14672	15348	14295	15285	15139	15613	15728	15309	13853	13806	15243	15592	15416	14576	14459	15252	14573	15325	14860	14096	15161	15249	15386	18953	15445	13888	13828	13935	13894	15500	14631	15395	16068	13631	15152	15864	14314	15934	15830	16254	15414	13482	15288	15103	14111	15505	15606	14937	14879	15239	14898	14900	13970	16275	15053	16108	14216	15800	15330	13831	13851	13893	15094	15014	14857	15228	10592	15385	14806	15204	15219	13784	16046	16173	15455	14944	13902	15742
Lycaon_pictus__sis2-181106_HiC.fasta_v2.functional.proteins	14505	15311	15018	14956	15327	14782	14334	18050	18173	14712	14474	14992	15097	14388	15083	13941	14958	14780	15222	15338	14872	13563	13680	14887	13832	15041	14231	14097	14880	14343	14948	14501	13789	14786	14889	14998	15445	19327	13593	13529	13651	13577	15115	14310	15017	15451	13360	14857	14708	14118	15206	15380	15629	15053	13131	14867	14737	13929	15110	15238	14553	14700	14816	14569	14557	13669	15643	14682	15410	13891	15125	14953	13532	13532	13620	14707	14722	14663	14887	10462	15084	14413	14837	14827	13549	15480	15540	15043	14694	13607	17149
Macropus_eugenii__me-1k.fasta_v2.functional.proteins	13112	13770	13881	13811	13889	13609	13179	13916	13968	13829	13636	13937	13828	13473	14128	13229	13816	13833	13863	13917	13776	14094	12709	13959	12528	13787	13378	12996	13772	13464	13829	13421	12712	13733	13767	13889	13888	13593	17258	15700	15840	15659	13930	13527	13898	13861	13905	13672	13230	13106	13789	13914	13957	13866	12159	13777	13945	13022	13892	13800	13234	13232	13755	13676	13692	14582	13942	13679	13881	13182	13717	13854	14395	14486	14507	13649	13643	13305	13814	10407	13755	13267	13893	13741	12588	13915	13930	13441	13492	14408	13807
Macropus_fuliginosus__mf-2k.fasta_v2.functional.proteins	13049	13700	13824	13768	13822	13557	13105	13834	13888	13717	13554	13876	13744	13399	14026	13164	13756	13766	13787	13856	13705	14023	12646	13896	12461	13713	13322	12952	13687	13389	13768	13353	12657	13668	13712	13822	13828	13529	15700	17362	16244	15554	13861	13457	13824	13789	13845	13592	13157	13053	13731	13848	13863	13815	12123	13710	13841	12941	13848	13729	13142	13164	13690	13641	13618	14552	13866	13617	13815	13114	13654	13805	14357	14428	14465	13601	13578	13228	13763	10371	13685	13210	13829	13666	12521	13817	13835	13361	13445	14368	13746
Macropus_giganteus__mg-2k.fasta_v2.functional.proteins	13161	13824	13958	13885	13946	13668	13241	13979	14029	13840	13678	14005	13867	13519	14150	13285	13875	13873	13919	13976	13816	14167	12727	14015	12590	13856	13429	13059	13831	13507	13902	13467	12767	13793	13835	13956	13935	13651	15840	16244	17454	15711	13983	13568	13959	13935	13938	13723	13269	13132	13826	13975	14004	13925	12199	13816	13963	13049	13962	13845	13278	13269	13791	13732	13723	14605	14006	13737	13951	13222	13758	13929	14443	14531	14557	13706	13692	13352	13874	10449	13803	13328	13946	13794	12636	13958	13979	13504	13568	14473	13875
Macropus_rufus__mr-2k.fasta_v2.functional.proteins	13105	13761	13874	13811	13885	13578	13170	13900	13939	13790	13620	13923	13803	13466	14089	13246	13829	13826	13840	13917	13755	14088	12682	13943	12528	13770	13391	13007	13773	13450	13826	13394	12694	13703	13770	13877	13894	13577	15659	15554	15711	17021	13912	13522	13908	13844	13859	13653	13194	13076	13790	13903	13931	13873	12144	13763	13915	12999	13902	13777	13204	13218	13740	13679	13669	14512	13914	13668	13898	13162	13700	13862	14363	14407	14451	13650	13658	13268	13827	10419	13734	13273	13899	13733	12567	13894	13916	13422	13499	14369	13784
Mandrillus_sphinx__BGI_mandrill_1.0_HiC.fasta_v2.functional.proteins	14512	15262	15378	15358	15352	15082	14572	15454	15500	15190	14809	17012	15406	14720	15521	14341	15295	15154	15315	15446	15288	13842	13859	15290	13889	15307	14627	14458	15532	14676	15256	14822	14094	15145	15232	15359	15500	15115	13930	13861	13983	13912	19667	14639	15684	15440	13678	15145	14710	14338	15252	15507	15548	15430	13467	15244	15148	14216	15471	15337	14658	14693	15184	14936	14931	14001	15611	15062	15429	14285	15110	15677	13850	13893	13951	15030	15012	14699	16902	10591	15226	14742	15262	15223	13777	15466	15515	14928	14922	13913	15411
Mesocricetus_auratus__MesAur1.0_HiC.fasta_v2.functional.proteins	13763	14516	14648	14540	14602	14280	13895	14696	14710	14607	14287	14609	14586	14156	14732	13866	14583	15284	14578	14675	14448	13476	13211	14596	13208	14557	14074	13714	14553	14098	14566	14091	13415	14411	14500	14637	14631	14310	13527	13457	13568	13522	14639	16595	14713	14670	13269	14435	13944	13703	14501	14702	14729	14640	12778	14469	14459	13575	14671	14564	13944	13909	14407	14922	14909	13564	14739	14331	14645	13694	14402	14585	13433	13490	13522	14407	14336	13971	14486	10346	14444	14015	14514	14419	13125	14703	14757	14195	14232	13527	14546
Microcebus_murinus__Mmur_3.0_HiC.fasta_v2.functional.proteins	14403	15203	15408	15279	15314	15020	14561	15451	15456	15115	14821	15610	15385	14698	15464	14391	15266	15146	15282	15417	15196	13888	13757	15274	13857	15334	14650	14384	15909	14657	15281	14802	14056	15154	15227	15326	15395	15017	13898	13824	13959	13908	15684	14713	17841	15401	13668	15148	14602	14326	15181	15446	15485	15349	13409	15166	15116	14197	15416	15276	14678	14580	15137	14920	14917	13988	15514	15056	15343	14187	15070	15969	13827	13881	13946	15094	15015	14652	15477	10611	15133	14775	15239	15146	13777	15429	15505	14858	14926	13940	15293
Mirounga_angustirostris__Mirounga_angustirostris_HiC.fasta_v2.functional.proteins	14676	15911	15429	15382	15936	15001	14605	15886	15875	15048	14742	15384	15429	14620	15376	14306	15311	15112	15570	15732	15262	13800	13803	15232	14492	15399	14545	14519	15285	14570	15336	14860	14099	15232	15230	15381	16068	15451	13861	13789	13935	13844	15440	14670	15401	19243	13584	15156	15177	14319	15867	15783	17050	15361	13424	15226	15071	14099	15432	15622	14997	14873	15184	14859	14884	13926	17664	15106	16083	14183	15681	15286	13770	13833	13887	15124	15028	14936	15233	10584	15370	14819	15173	15185	13788	16246	16414	15667	14947	13861	15749
Monodelphis_domestica__MonDom5_HiC.fasta_v2.functional.proteins	12898	13507	13627	13548	13601	13355	12938	13646	13678	13544	13399	13642	13583	13253	13809	12957	13582	13582	13572	13666	13494	14261	12442	13670	12291	13538	13108	12721	13510	13209	13572	13146	12458	13458	13525	13617	13631	13360	13905	13845	13938	13859	13678	13269	13668	13584	15828	13407	12934	12882	13529	13675	13688	13622	11933	13501	13646	12780	13648	13526	12983	13027	13474	13435	13438	13988	13679	13387	13640	13000	13437	13603	13821	13874	13970	13385	13381	13069	13531	10334	13479	13043	13643	13472	12392	13644	13647	13182	13273	13948	13529
Muntiacus_reevesi__CIJ_HiC.fasta_v2.functional.proteins	14323	15071	16795	15173	15077	15792	14512	15205	15194	14828	14567	15035	15195	14447	15142	14076	16011	14853	15036	15159	15100	13638	13673	14963	13653	15115	14308	14324	15002	14488	15951	14692	14760	15059	15013	15981	15152	14857	13672	13592	13723	13653	15145	14435	15148	15156	13407	18416	14465	14157	14934	15207	15226	16612	13973	15081	14882	13947	16093	15020	14436	14487	15022	14650	14643	13748	15247	14955	15114	13989	14817	15021	13586	13646	13676	14797	14789	14505	14880	10526	14957	14491	14955	15037	13675	15238	15282	14796	14864	13691	15111
Mustela_putorius_furo__MusPutFur1.0_HiC.fasta_v2.functional.proteins	14013	15110	14648	14620	15081	14334	14216	14981	15030	14317	14081	14595	14707	13965	14633	13579	14580	14387	14786	14887	14518	13158	13163	14466	14107	14643	13940	13702	14498	13913	14547	14414	13378	14429	14472	14630	15864	14708	13230	13157	13269	13194	14710	13944	14602	15177	12934	14465	17414	13660	15034	14972	15320	14648	13014	14512	14340	13425	14726	14806	14117	14195	14459	14180	14167	13289	15390	14296	15213	13473	14858	14588	13144	13161	13241	14354	14292	14176	14484	10111	14640	14042	14443	14457	13073	15202	15282	14710	14285	13199	14990
Myotis_lucifugus__Myoluc2.0_HiC.fasta_v2.functional.proteins	13731	14290	14278	14200	14279	14087	13686	14344	14387	14023	13846	14313	14302	13760	14455	13401	14211	14112	14237	14358	14148	13033	13283	14166	12869	14221	13575	13417	14191	13799	14242	13775	13089	14107	14135	14258	14314	14118	13106	13053	13132	13076	14338	13703	14326	14319	12882	14157	13660	16469	14174	14379	14403	14298	12473	14125	14065	13402	14308	14248	13625	13867	14107	13912	13925	13142	14408	14032	14294	13283	14108	14175	13021	13060	13121	14132	14168	13854	14169	10186	14159	13682	14128	14099	13027	14392	14427	14040	14019	13112	14314
Nasua_narica__Nasua_narica_HiC.fasta_v2.functional.proteins	14512	15623	15213	15207	16012	14842	14383	15566	15630	14924	14580	15173	15220	14486	15227	14155	15091	14967	15447	15569	15091	13720	13692	15127	14271	15214	14416	14329	15046	14403	15127	14691	13890	14994	15113	15170	15934	15206	13789	13731	13826	13790	15252	14501	15181	15867	13529	14934	15034	14174	18133	15617	16011	15224	13291	15089	14957	13963	15304	15473	14735	14665	15052	14749	14756	13878	16044	14903	16068	14081	15784	15139	13757	13759	13834	14900	14841	14709	15065	10505	15224	14626	15025	15038	13649	15820	15897	15202	14741	13793	15492
Neofelis_nebulosa__Neofelis_nebulosa_HiC.fasta_v2.functional.proteins	16631	15562	15451	15443	15696	15087	14622	15742	15813	15114	14814	15425	15508	14711	15443	14357	15316	15183	16058	16272	15320	13878	13853	15341	14183	15438	14631	14531	15298	14620	15367	14915	14122	15245	15330	15395	15830	15380	13914	13848	13975	13903	15507	14702	15446	15783	13675	15207	14972	14379	15617	20098	15997	15452	13511	15321	15158	14190	15516	18313	17511	17335	15295	14978	14917	14002	15982	15123	15758	14271	15468	15388	13845	13903	13950	15123	15051	16745	15295	10646	15805	14850	15289	15288	13839	15807	15881	15210	14989	13955	15666
Odobenus_rosmarus__Oros_1.0_HiC.fasta_v2.functional.proteins	14792	15985	15498	15506	16065	15121	14641	15997	16055	15157	14808	15484	15521	14715	15503	14362	15383	15239	15731	15890	15386	13918	13878	15327	14582	15513	14634	14594	15339	14637	15414	14966	14190	15288	15320	15463	16254	15629	13957	13863	14004	13931	15548	14729	15485	17050	13688	15226	15320	14403	16011	15997	19353	15509	13535	15363	15141	14210	15577	15766	15066	14995	15325	14987	14989	14019	17477	15175	16263	14254	15811	15417	13889	13907	13955	15189	15096	15007	15332	10622	15499	14929	15278	15311	13866	16311	16467	15750	14990	13951	15905
Odocoileus_virginianus__Ovir.te_1.0_HiC.fasta_v2.functional.proteins	14440	15211	16939	15487	15309	16037	14595	15389	15418	15061	14730	15296	15407	14658	15344	14289	16214	15093	15296	15404	15392	13830	13804	15194	13838	15327	14562	14568	15181	14591	16214	14974	14962	15276	15264	16224	15414	15053	13866	13815	13925	13873	15430	14640	15349	15361	13622	16612	14648	14298	15224	15452	15509	18875	14242	15369	15056	14117	16486	15266	14623	14626	15330	14883	14861	13932	15547	15172	15396	14203	15071	15255	13780	13833	13882	14988	14934	14637	15146	10602	15164	14748	15150	15348	13861	15440	15506	14907	14961	13889	15342
Okapia_johnstoni__ASM166083v1_HiC.fasta_v2.functional.proteins	12607	13275	14205	13570	13395	13915	12729	13459	13483	13168	12877	13384	13446	12778	13423	12453	14103	13171	13383	13419	13491	12128	12028	13325	12439	13382	12726	12665	13263	12731	14561	13087	12811	13386	13383	14130	13482	13131	12159	12123	12199	12144	13467	12778	13409	13424	11933	13973	13014	12473	13291	13511	13535	14242	16242	13465	13190	12260	14317	13352	13098	12752	13434	12976	12976	12256	13544	13303	13447	12338	13219	13365	12093	12150	12194	13115	13050	12808	13255	9365	13215	12888	13273	13419	12194	13492	13533	12998	13107	12158	13374
Orcinus_orca__Oorc_1.1_HiC.fasta_v2.functional.proteins	14282	15054	15379	16612	15185	14988	14484	15218	15275	14897	14561	15209	15265	14456	15207	14143	15243	14896	15168	15254	17512	13717	13667	15060	13698	15193	14374	15614	15063	14391	15290	17480	14016	17707	15188	15300	15288	14867	13777	13710	13816	13763	15244	14469	15166	15226	13501	15081	14512	14125	15089	15321	15363	15369	13465	19278	14900	13901	15435	15144	14506	14441	17871	14670	14658	13836	15398	16923	15197	14056	14945	15127	13688	13734	13790	14885	14815	14477	15048	10574	15008	14621	15029	17891	15894	15244	15323	14674	14827	13768	15130
